YEAR,MO,DY,HR,WS50M,recalculated wind speeds for 140m,cut in/out wind speeds applied
2020,1,7,4,6.65,7.200876983,7.200876983
2020,1,7,5,7.33,7.937207261,7.937207261
2020,1,7,6,8.21,8.890105268,8.890105268
2020,1,7,7,8.97,9.713062638,9.713062638
2020,1,7,8,9.57,10.36276582,10.36276582
2020,1,7,9,9.64,10.43856453,10.43856453
2020,1,7,10,9.86,10.67678903,10.67678903
2020,1,7,11,9.95,10.77424451,10.77424451
2020,1,7,12,9.96,10.7850729,10.7850729
2020,1,7,13,9.69,10.49270646,10.49270646
2020,1,7,14,10.35,11.20737997,11.20737997
2020,1,7,15,11.13,12.05199411,12.05199411
2020,1,7,16,11.63,12.59341343,12.59341343
2020,1,7,17,12.14,13.14566114,13.14566114
2020,1,7,18,12.63,13.67625208,13.67625208
2020,1,7,19,12.99,14.06607399,14.06607399
2020,1,7,20,12.67,13.71956562,13.71956562
2020,1,7,21,12.73,13.78453594,13.78453594
2020,1,7,22,12.71,13.76287917,13.76287917
2020,1,7,23,12.63,13.67625208,13.67625208
2020,1,8,0,12.56,13.60045337,13.60045337
2020,1,8,1,12.03,13.02654889,13.02654889
2020,1,8,2,11.1,12.01950895,12.01950895
2020,1,8,3,10.54,11.41311931,11.41311931
2020,1,8,4,10.47,11.3373206,11.3373206
2020,1,8,5,9.1,9.853831661,9.853831661
2020,1,8,6,8.22,8.900933655,8.900933655
2020,1,8,7,7.72,8.359514333,8.359514333
2020,1,8,8,7.56,8.18626015,8.18626015
2020,1,8,9,7.19,7.785609851,7.785609851
2020,1,8,10,6.74,7.298332461,7.298332461
2020,1,8,11,6.3,6.821883458,6.821883458
2020,1,8,12,5.7,6.172180271,6.172180271
2020,1,8,13,5.63,6.096381566,6.096381566
2020,1,8,14,5.43,5.879813838,5.879813838
2020,1,8,15,4.6,4.981057763,4.981057763
2020,1,8,16,4.03,4.363839736,4.363839736
2020,1,8,17,4.01,4.342182963,4.342182963
2020,1,8,18,3.87,4.190585553,4.190585553
2020,1,8,19,3.96,4.288041031,4.288041031
2020,1,8,20,5.08,5.500820312,5.500820312
2020,1,8,21,6.82,7.384959553,7.384959553
2020,1,8,22,8.56,9.269098794,9.269098794
2020,1,8,23,9.5,10.28696712,10.28696712
2020,1,9,0,10.73,11.61885865,11.61885865
2020,1,9,1,13.22,14.31512688,14.31512688
2020,1,9,2,14.1,15.26802488,15.26802488
2020,1,9,3,14.39,15.58204809,15.58204809
2020,1,9,4,14.91,16.14512418,16.14512418
2020,1,9,5,15.4,16.67571512,16.67571512
2020,1,9,6,15.71,17.0113951,17.0113951
2020,1,9,7,15.07,16.31837837,16.31837837
2020,1,9,8,14.38,15.5712197,15.5712197
2020,1,9,9,13.71,14.84571781,14.84571781
2020,1,9,10,12.75,13.80619271,13.80619271
2020,1,9,11,11.39,12.33353216,12.33353216
2020,1,9,12,9.98,10.80672967,10.80672967
2020,1,9,13,8.54,9.247442021,9.247442021
2020,1,9,14,8.62,9.334069112,9.334069112
2020,1,9,15,9.88,10.6984458,10.6984458
2020,1,9,16,10.79,11.68382897,11.68382897
2020,1,9,17,10.88,11.78128445,11.78128445
2020,1,9,18,10.81,11.70548574,11.70548574
2020,1,9,19,10.94,11.84625477,11.84625477
2020,1,9,20,10.8,11.69465736,11.69465736
2020,1,9,21,10.51,11.38063415,11.38063415
2020,1,9,22,9.12,9.875488434,9.875488434
2020,1,9,23,7.85,8.500283356,8.500283356
2020,1,10,0,7.46,8.077976285,8.077976285
2020,1,10,1,8.9,9.637263933,9.637263933
2020,1,10,2,9.86,10.67678903,10.67678903
2020,1,10,3,10.18,11.0232974,11.0232974
2020,1,10,4,10.43,11.29400706,11.29400706
2020,1,10,5,11.01,11.92205347,11.92205347
2020,1,10,6,10.68,11.56471672,11.56471672
2020,1,10,7,9.24,10.00542907,10.00542907
2020,1,10,8,8,8.662709153,8.662709153
2020,1,10,9,7.58,8.207916922,8.207916922
2020,1,10,10,7.11,7.69898276,7.69898276
2020,1,10,11,6.72,7.276675688,7.276675688
2020,1,10,12,6.06,6.562002183,6.562002183
2020,1,10,13,5.04,5.457506766,5.457506766
2020,1,10,14,3.63,3.930704278,3.930704278
2020,1,10,15,3.37,3.649166231,3.649166231
2020,1,10,16,4.32,4.677862943,4.677862943
2020,1,10,17,5.04,5.457506766,5.457506766
2020,1,10,18,5.85,6.334606068,6.334606068
2020,1,10,19,6.46,6.995137641,6.995137641
2020,1,10,20,7.28,7.883065329,7.883065329
2020,1,10,21,7.78,8.424484651,8.424484651
2020,1,10,22,8.21,8.890105268,8.890105268
2020,1,10,23,8.71,9.43152459,9.43152459
2020,1,11,0,9.39,10.16785487,10.16785487
2020,1,11,1,9.9,10.72010258,10.72010258
2020,1,11,2,10.5,11.36980576,11.36980576
2020,1,11,3,11.06,11.9761954,11.9761954
2020,1,11,4,11.34,12.27939022,12.27939022
2020,1,11,5,11.39,12.33353216,12.33353216
2020,1,11,6,11.7,12.66921214,12.66921214
2020,1,11,7,12.53,13.56796821,13.56796821
2020,1,11,8,12.85,13.91447658,13.91447658
2020,1,11,9,12.64,13.68708046,13.68708046
2020,1,11,10,12.7,13.75205078,13.75205078
2020,1,11,11,12.96,14.03358883,14.03358883
2020,1,11,12,13.41,14.52086622,14.52086622
2020,1,11,13,13.53,14.65080685,14.65080685
2020,1,11,14,13.52,14.63997847,14.63997847
2020,1,11,15,13.58,14.70494879,14.70494879
2020,1,11,16,13.71,14.84571781,14.84571781
2020,1,11,17,13.85,14.99731522,14.99731522
2020,1,11,18,13.94,15.0947707,15.0947707
2020,1,11,19,13.91,15.06228554,15.06228554
2020,1,11,20,14.12,15.28968165,15.28968165
2020,1,11,21,14.42,15.61453325,15.61453325
2020,1,11,22,14.64,15.85275775,15.85275775
2020,1,11,23,14.6,15.8094442,15.8094442
2020,1,12,0,14.57,15.77695904,15.77695904
2020,1,12,1,14.59,15.79861582,15.79861582
2020,1,12,2,14.53,15.7336455,15.7336455
2020,1,12,3,14.56,15.76613066,15.76613066
2020,1,12,4,14.8,16.02601193,16.02601193
2020,1,12,5,14.84,16.06932548,16.06932548
2020,1,12,6,14.23,15.40879391,15.40879391
2020,1,12,7,13.64,14.76991911,14.76991911
2020,1,12,8,13.48,14.59666492,14.59666492
2020,1,12,9,13.59,14.71577717,14.71577717
2020,1,12,10,13.3,14.40175397,14.40175397
2020,1,12,11,13.18,14.27181333,14.27181333
2020,1,12,12,12.75,13.80619271,13.80619271
2020,1,12,13,12.03,13.02654889,13.02654889
2020,1,12,14,10.81,11.70548574,11.70548574
2020,1,12,15,9.8,10.61181871,10.61181871
2020,1,12,16,9.01,9.756376183,9.756376183
2020,1,12,17,8.18,8.857620109,8.857620109
2020,1,12,18,8.42,9.117501383,9.117501383
2020,1,12,19,8.44,9.139158156,9.139158156
2020,1,12,20,7.87,8.521940129,8.521940129
2020,1,12,21,7.96,8.619395607,8.619395607
2020,1,12,22,7.89,8.543596902,8.543596902
2020,1,12,23,7.83,8.478626583,8.478626583
2020,1,13,0,7.87,8.521940129,8.521940129
2020,1,13,1,8.15,8.82513495,8.82513495
2020,1,13,2,8.56,9.269098794,9.269098794
2020,1,13,3,9.1,9.853831661,9.853831661
2020,1,13,4,9.52,10.30862389,10.30862389
2020,1,13,5,9.33,10.10288455,10.10288455
2020,1,13,6,9.15,9.907973594,9.907973594
2020,1,13,7,9.3,10.07039939,10.07039939
2020,1,13,8,9.41,10.18951164,10.18951164
2020,1,13,9,9.53,10.31945228,10.31945228
2020,1,13,10,11.08,11.99785218,11.99785218
2020,1,13,11,12.28,13.29725855,13.29725855
2020,1,13,12,12.8,13.86033464,13.86033464
2020,1,13,13,13.36,14.46672429,14.46672429
2020,1,13,14,14.31,15.495421,15.495421
2020,1,13,15,15.41,16.68654351,16.68654351
2020,1,13,16,17.37,18.80890725,18.80890725
2020,1,13,17,19.23,20.82298713,20.82298713
2020,1,13,18,20.25,21.92748254,21.92748254
2020,1,13,19,20.58,22.2848193,22.2848193
2020,1,13,20,20.22,21.89499738,21.89499738
2020,1,13,21,19.3,20.89878583,20.89878583
2020,1,13,22,17.91,19.39364012,19.39364012
2020,1,13,23,16.38,17.73689699,17.73689699
2020,1,14,0,14.48,15.67950357,15.67950357
2020,1,14,1,12.41,13.43802757,13.43802757
2020,1,14,2,10.04,10.87169999,10.87169999
2020,1,14,3,8.65,9.366554272,9.366554272
2020,1,14,4,7.99,8.651880766,8.651880766
2020,1,14,5,8.37,9.063359451,9.063359451
2020,1,14,6,9.38,10.15702648,10.15702648
2020,1,14,7,9.52,10.30862389,10.30862389
2020,1,14,8,9.58,10.37359421,10.37359421
2020,1,14,9,9.66,10.4602213,10.4602213
2020,1,14,10,9.74,10.54684839,10.54684839
2020,1,14,11,10.23,11.07743933,11.07743933
2020,1,14,12,12.27,13.28643016,13.28643016
2020,1,14,13,17.14,18.55985436,18.55985436
2020,1,14,14,22.25,24.09315983,24.09315983
2020,1,14,15,21.94,23.75747985,23.75747985
2020,1,14,16,21.41,23.18357537,23.18357537
2020,1,14,17,21.21,22.96700764,22.96700764
2020,1,14,18,21.39,23.1619186,23.1619186
2020,1,14,19,21.73,23.53008374,23.53008374
2020,1,14,20,22.13,23.96321919,23.96321919
2020,1,14,21,22.23,24.07150306,24.07150306
2020,1,14,22,22.11,23.94156242,23.94156242
2020,1,14,23,21.71,23.50842696,23.50842696
2020,1,15,0,21.19,22.94535087,22.94535087
2020,1,15,1,20.59,22.29564768,22.29564768
2020,1,15,2,19.92,21.57014579,21.57014579
2020,1,15,3,18.79,20.34653812,20.34653812
2020,1,15,4,17.47,18.91719111,18.91719111
2020,1,15,5,15.92,17.23879121,17.23879121
2020,1,15,6,14.09,15.2571965,15.2571965
2020,1,15,7,11.82,12.79915277,12.79915277
2020,1,15,8,9.49,10.27613873,10.27613873
2020,1,15,9,7.91,8.565253675,8.565253675
2020,1,15,10,5.91,6.399576387,6.399576387
2020,1,15,11,5.61,6.074724793,6.074724793
2020,1,15,12,6.58,7.125078278,7.125078278
2020,1,15,13,7.99,8.651880766,8.651880766
2020,1,15,14,8.91,9.648092319,9.648092319
2020,1,15,15,9.55,10.34110905,10.34110905
2020,1,15,16,9.53,10.31945228,10.31945228
2020,1,15,17,9.41,10.18951164,10.18951164
2020,1,15,18,9.5,10.28696712,10.28696712
2020,1,15,19,9.52,10.30862389,10.30862389
2020,1,15,20,9.54,10.33028066,10.33028066
2020,1,15,21,9.7,10.50353485,10.50353485
2020,1,15,22,10,10.82838644,10.82838644
2020,1,15,23,10.08,10.91501353,10.91501353
2020,1,16,0,10.18,11.0232974,11.0232974
2020,1,16,1,9.66,10.4602213,10.4602213
2020,1,16,2,9.39,10.16785487,10.16785487
2020,1,16,3,9.54,10.33028066,10.33028066
2020,1,16,4,9.71,10.51436323,10.51436323
2020,1,16,5,9.98,10.80672967,10.80672967
2020,1,16,6,9.99,10.81755805,10.81755805
2020,1,16,7,10.53,11.40229092,11.40229092
2020,1,16,8,10.5,11.36980576,11.36980576
2020,1,16,9,10.61,11.48891801,11.48891801
2020,1,16,10,11.12,12.04116572,12.04116572
2020,1,16,11,12.3,13.31891532,13.31891532
2020,1,16,12,13.33,14.43423913,14.43423913
2020,1,16,13,14.11,15.27885327,15.27885327
2020,1,16,14,14.64,15.85275775,15.85275775
2020,1,16,15,14.91,16.14512418,16.14512418
2020,1,16,16,14.49,15.69033195,15.69033195
2020,1,16,17,13.61,14.73743395,14.73743395
2020,1,16,18,13.35,14.4558959,14.4558959
2020,1,16,19,13.27,14.36926881,14.36926881
2020,1,16,20,13.69,14.82406104,14.82406104
2020,1,16,21,13.63,14.75909072,14.75909072
2020,1,16,22,12.93,14.00110367,14.00110367
2020,1,16,23,11.59,12.55009989,12.55009989
2020,1,17,0,10.25,11.0990961,11.0990961
2020,1,17,1,8.66,9.377382658,9.377382658
2020,1,17,2,7.87,8.521940129,8.521940129
2020,1,17,3,7.69,8.327029173,8.327029173
2020,1,17,4,7.98,8.64105238,8.64105238
2020,1,17,5,8.37,9.063359451,9.063359451
2020,1,17,6,8.48,9.182471702,9.182471702
2020,1,17,7,8.89,9.626435546,9.626435546
2020,1,17,8,10.03,10.8608716,10.8608716
2020,1,17,9,10.74,11.62968704,11.62968704
2020,1,17,10,11.59,12.55009989,12.55009989
2020,1,17,11,12.84,13.90364819,13.90364819
2020,1,17,12,13.73,14.86737458,14.86737458
2020,1,17,13,14,15.15974102,15.15974102
2020,1,17,14,12.96,14.03358883,14.03358883
2020,1,17,15,11.25,12.18193475,12.18193475
2020,1,17,16,9.85,10.66596064,10.66596064
2020,1,17,17,9.05,9.799689729,9.799689729
2020,1,17,18,8.89,9.626435546,9.626435546
2020,1,17,19,8.9,9.637263933,9.637263933
2020,1,17,20,8.27,8.955075587,8.955075587
2020,1,17,21,8.07,8.738507858,8.738507858
2020,1,17,22,8.07,8.738507858,8.738507858
2020,1,17,23,7.76,8.402827878,8.402827878
2020,1,18,0,7.8,8.446141424,8.446141424
2020,1,18,1,7.75,8.391999492,8.391999492
2020,1,18,2,7.88,8.532768516,8.532768516
2020,1,18,3,7.46,8.077976285,8.077976285
2020,1,18,4,7.02,7.601527282,7.601527282
2020,1,18,5,6.49,7.0276228,7.0276228
2020,1,18,6,5.72,6.193837044,6.193837044
2020,1,18,7,5.32,5.760701587,5.760701587
2020,1,18,8,5.3,5.739044814,5.739044814
2020,1,18,9,5.05,5.468335153,5.468335153
2020,1,18,10,4.85,5.251767424,5.251767424
2020,1,18,11,4.88,5.284252583,5.284252583
2020,1,18,12,5.31,5.7498732,5.7498732
2020,1,18,13,5.29,5.728216427,5.728216427
2020,1,18,14,4.74,5.132655173,5.132655173
2020,1,18,15,4.6,4.981057763,4.981057763
2020,1,18,16,5.27,5.706559654,5.706559654
2020,1,18,17,6.4,6.930167322,6.930167322
2020,1,18,18,6.82,7.384959553,7.384959553
2020,1,18,19,6.88,7.449929872,7.449929872
2020,1,18,20,7.16,7.753124692,7.753124692
2020,1,18,21,7.23,7.828923397,7.828923397
