ALLSKY_SFC_SW_DWN (Wh/m^2),Solar Zenith Angle (Degrees) ,Solar Zenith Angle (Degrees) REMOVED IF >85º,optimiced_moving_solar_ALLSKY_SFC_SW_DWN (Wh/m^2)
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
28.08,86.91,0,0
110.6,80.2,80.2,649.787471
173.68,75.12,75.12,676.3359746
259.84,72.11,72.11,845.8594124
253.33,71.45,71.45,796.3044183
211.18,73.23,73.23,731.9156747
153.3,77.24,77.24,694.0807871
73.92,83.14,83.14,618.868796
7.43,89.24,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
37.63,86.79,0,0
145.91,80.05,80.05,844.4417718
243.63,74.95,74.95,938.2586462
293.18,71.92,71.92,944.6917487
290.94,71.25,71.25,905.1159904
277.93,73.02,73.02,951.6916302
177.16,77.02,77.02,788.7417003
76.9,82.93,82.93,624.7873568
7.7,89.15,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
37.88,86.66,0,0
144.02,79.91,79.91,822.0559157
250.49,74.78,74.78,954.1530508
310.39,71.73,71.73,990.0946043
323.98,71.05,71.05,997.6507263
282.64,72.8,72.8,955.8075945
209.33,76.8,76.8,916.7033167
95.57,82.71,82.71,753.1632041
10.34,89.04,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
31.05,86.53,0,0
117.63,79.74,79.74,660.4149471
199.55,74.6,74.6,751.4419245
254.58,71.53,71.53,803.5780103
242.86,70.83,70.83,739.5877413
212.63,72.58,72.58,710.2490351
151.25,76.59,76.59,652.1710596
81.3,82.49,82.49,622.0388597
9.88,88.93,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
